# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_avuncular_model
# start_datetime = 2023-05-12 13:15:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = model_avuncular_input.json
# random
#   seed = 390320259 (Default)
# output
#   file = model_avuncular_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,burial_h,burial_a,age_h,age_a,age_m_h,age_m_a,birth_date_grandmother,birth_date_sister,age_m_s
# Adaptation terminated
# Step size = 0.285566
# Diagonal elements of inverse mass matrix:
# 35.1691, 33.9261, 0.0197128, 0.0360047, 0.523319, 0.427349
7.24934,0.863163,0.285566,3,9,1,-2.62883,-519.416,-497.969,40.5368,26.7256,16.8659,20.055,-576.819,-544.75,32.0691
7.38724,0.909091,0.285566,3,11,1,-6.08163,-518.548,-496.72,38.4386,29.9159,16.3814,19.1681,-573.368,-545.804,27.5646
6.87499,0.939766,0.285566,4,15,0,-4.82867,-532.195,-490.028,36.9373,44.4714,19.0231,19.1034,-588.155,-553.603,34.5522
8.0077,0.999971,0.285566,3,7,0,-6.1048,-533.378,-491.264,36.6134,40.0242,19.681,21.2622,-589.673,-552.551,37.122
7.68686,0.956084,0.285566,4,15,0,-6.0823,-519.083,-495.876,46.9162,23.9848,21.4792,36.4184,-587.479,-556.279,31.1997
8.37891,1,0.285566,3,7,0,-6.78936,-520.457,-496.569,47.251,25.4941,20.7187,35.8905,-588.427,-557.953,30.4731
9.36212,0.94156,0.285566,4,15,0,-5.66301,-527.731,-493,33.1303,39.3085,22.1553,24.447,-583.017,-556.756,26.2612
2.22063,0.837254,0.285566,3,7,0,-1.76505,-535.704,-496.572,21.4425,28.8462,20.5786,35.6668,-577.725,-561.085,16.6397
3.47902,0.102887,0.285566,4,15,0,2.56285,-532.135,-489.067,27.9145,22.168,21.0486,26.3111,-581.098,-537.546,43.5518
1.74483,0.850025,0.285566,2,7,1,1.35478,-529.55,-484.021,24.7647,23.9008,18.9423,22.8983,-573.257,-530.82,42.4367
8.39929,0.420689,0.285566,4,19,0,0.081026,-526.711,-503.294,33.3375,32.4659,23.6087,25.0796,-583.658,-560.839,22.8186
8.39929,0.407663,0.285566,1,1,0,-6.72688,-526.711,-503.294,33.3375,32.4659,23.6087,25.0796,-583.658,-560.839,22.8186
7.27687,0.989431,0.285566,4,15,0,-5.37545,-524.762,-500.179,31.9215,34.2375,18.5511,17.7892,-575.234,-552.206,23.0284
7.3611,0.916429,0.285566,3,12,1,-6.18824,-523.196,-499.345,32.0168,32.5063,18.9995,17.8684,-574.212,-549.72,24.4919
6.23352,0.945512,0.285566,3,7,0,-3.97401,-524.74,-497.889,29.7054,38.9346,18.1651,17.8184,-572.611,-554.642,17.969
5.3623,1,0.285566,3,7,0,-4.34766,-532.031,-492.996,30.2035,38.4396,21.6245,16.7725,-583.859,-548.208,35.6506
5.23709,0.998377,0.285566,3,7,0,-3.58869,-524.258,-496.764,27.2871,41.5384,23.2729,17.9048,-574.818,-556.208,18.6108
7.37842,0.995259,0.285566,4,15,0,-2.10275,-533.425,-503.888,34.7377,27.7237,19.2673,31.7724,-587.43,-563.384,24.0458
7.20263,0.947821,0.285566,3,15,0,-1.75718,-517.612,-488.761,31.9445,30.5623,22.3648,22.093,-571.921,-541.416,30.5049
9.67855,0.993476,0.285566,4,15,0,-6.52646,-518.803,-495.011,37.6739,34.4294,18.3689,24.8413,-574.845,-554.281,20.5643
8.73057,0.981196,0.285566,3,15,0,-7.10847,-521.894,-493.466,38.7913,25.1882,23.4851,38.5776,-584.171,-557.232,26.9387
10.0375,0.994408,0.285566,3,7,0,-7.99173,-523.833,-493.084,37.9841,32.5782,24.6619,38.8261,-586.479,-564.488,21.9907
9.16275,0.289607,0.285566,2,3,0,-7.47548,-524.8,-491.792,38.4644,29.7901,26.757,37.8583,-590.021,-559.44,30.5811
10.1253,0.8,0.285566,2,5,0,-6.69344,-526.004,-491.472,36.5939,39.3898,20.2175,25.4282,-582.815,-556.29,26.5251
10.082,0.986245,0.285566,4,15,0,-8.29185,-525.585,-498.056,44.5949,32.5279,21.2734,41.0385,-591.454,-571.622,19.8314
7.56156,0.712728,0.285566,3,7,0,-6.79639,-528.363,-488.723,47.2005,28.0422,16.9751,35.8296,-592.539,-552.595,39.944
7.69414,0.285714,0.285566,3,7,0,-3.91652,-519.319,-489.244,47.6,28.8339,16.4535,41.0112,-583.372,-559.089,24.2836
9.02436,0.473089,0.285566,1,2,1,-1.47393,-521.576,-490.472,46.3421,32.9005,16.4384,31.5182,-584.357,-554.891,29.4662
10.0216,0.935635,0.285566,3,7,0,-3.63131,-520.656,-492.543,42.9687,36.7233,17.4132,31.4751,-581.038,-560.742,20.2966
9.05078,0.988259,0.285566,4,15,0,-8.09946,-524.362,-497.213,35.5341,30.6304,17.6195,21.9259,-577.516,-549.769,27.7471
8.39611,0.995994,0.285566,4,15,0,-7.35323,-524.94,-502.415,38.4869,35.6943,16.8936,20.245,-580.32,-558.354,21.9664
8.64269,0.99289,0.285566,4,15,0,-5.76865,-525.669,-484.585,45.7831,35.3726,22.0989,39.7035,-593.551,-559.661,33.8896
9.51251,0.5,0.285566,1,2,1,-3.52265,-524.585,-486.902,43.3309,35.0364,18.7195,43.8432,-586.635,-565.782,20.8537
7.55735,0.943566,0.285566,3,7,0,-5.08314,-522.616,-486.697,50.7154,30.7151,21.9262,46.1944,-595.258,-563.606,31.6516
9.78527,0.998003,0.285566,4,15,0,-5.6863,-527.809,-488.154,36.504,35.9905,22.0105,38.7888,-586.323,-562.934,23.3897
9.27134,0.964543,0.285566,4,15,0,-6.20232,-522.307,-501.985,44.6951,32.3062,17.4235,26.8936,-584.426,-561.185,23.2413
7.4083,0.97857,0.285566,3,7,0,-6.13178,-523.752,-495.169,41.4728,45.2809,28.3281,20.9688,-593.553,-561.418,32.1344
8.87644,0.999146,0.285566,3,7,0,-5.55891,-524.886,-491.807,36.8484,38.6138,17.3619,19.8801,-579.096,-550.301,28.795
6.16542,0.97153,0.285566,3,7,0,-5.35156,-530.205,-491.14,28.4705,34.688,17.6276,18.8476,-576.303,-544.676,31.6269
5.80682,0.997521,0.285566,3,7,0,-5.21821,-529.189,-490.846,28.3311,32.4817,16.7595,19.1704,-574.28,-542.498,31.7824
5.25394,0.895837,0.285566,2,7,0,-3.65407,-528.041,-491.536,27.0494,32.778,16.1905,19.0862,-571.28,-543.401,27.8797
4.29377,0.660424,0.285566,1,3,1,0.337159,-526.735,-491.234,27.9028,31.4288,16.1012,17.1254,-570.739,-539.788,30.951
8.71526,0.999532,0.285566,4,15,0,-3.0655,-528.352,-494.837,46.9744,35.4954,26.9223,50.3125,-602.249,-580.645,21.6043
10.1802,0.991815,0.285566,3,7,0,-7.16109,-527.677,-494.115,38.0658,32.3281,17.6048,29.06,-583.348,-555.503,27.8442
10.0924,0.994929,0.285566,4,15,0,-8.71764,-527.973,-495.638,46.8268,37.876,22.0354,32.4243,-596.835,-565.938,30.8965
10.6358,0.144458,0.285566,3,7,0,-7.81375,-527.154,-496.402,43.7932,38.7393,19.9734,33.7769,-590.921,-568.918,22.0027
10.7595,0.999344,0.285566,4,15,0,-10.1017,-523.359,-493.559,38.2958,33.7333,20.3526,30.8008,-582.007,-558.093,23.9146
9.26437,0.955973,0.285566,3,7,0,-8.455,-519.03,-492.004,44.3694,36.0848,25.5827,28.2969,-588.982,-556.386,32.5968
8.6662,0.999916,0.285566,4,15,0,-7.80854,-534.599,-499.743,39.8337,33.7121,16.9185,30.0738,-591.351,-563.529,27.8216
7.17692,0.646191,0.285566,1,3,1,-4.54151,-536.921,-500.962,40.9376,34.162,16.657,25.3729,-594.516,-560.497,34.019
8.91149,0.953255,0.285566,3,7,0,-5.77705,-531.758,-496.831,43.015,40.9259,16.4671,27.321,-591.241,-565.078,26.1626
6.16577,0.947693,0.285566,4,15,0,-3.74958,-539.223,-504.125,38.2365,40.7159,22.8124,26.2895,-600.272,-571.13,29.1417
4.47089,0.91314,0.285566,4,15,0,-1.80857,-513.405,-488.507,41.213,25.4157,16.4303,20.2107,-571.048,-534.134,36.9143
7.50774,0.8,0.285566,2,5,1,0.437348,-522.895,-494.238,38.7006,26.1399,16.0441,23.5701,-577.639,-543.948,33.6919
7.16314,0.78933,0.285566,2,5,1,-4.23787,-525.877,-492.426,40.5818,25.4848,16.1701,24.562,-582.629,-542.473,40.1561
6.78177,0.99506,0.285566,3,15,0,-4.84074,-525.919,-490.086,45.1258,30.5297,15.5274,48.8385,-586.573,-569.454,17.1185
9.52975,0.520075,0.285566,3,15,1,-5.12677,-522.505,-492.04,39.7959,39.1709,20.9165,20.8476,-583.217,-552.058,31.159
9.25052,0.999602,0.285566,4,15,0,-7.55795,-530.218,-497.079,44.7229,28.1752,20.2887,42.4147,-595.23,-567.669,27.561
8.28983,0.984184,0.285566,3,7,0,-7.55919,-532.953,-497.966,43.0136,27.8726,17.3734,44.2962,-593.34,-570.134,23.2051
8.28983,0,0.285566,0,1,1,-6.88288,-532.953,-497.966,43.0136,27.8726,17.3734,44.2962,-593.34,-570.134,23.2051
8.28983,0.00323802,0.285566,2,3,0,-5.24535,-532.953,-497.966,43.0136,27.8726,17.3734,44.2962,-593.34,-570.134,23.2051
8.13165,0.991514,0.285566,4,15,0,-5.06623,-522.425,-491.102,48.0604,34.402,15.5686,35.0289,-586.054,-560.533,25.5214
9.14309,0.993905,0.285566,4,15,0,-5.97841,-519.799,-487.725,36.3688,35.8848,18.4558,24.6554,-574.624,-548.265,26.3585
9.10838,0.990451,0.285566,4,15,0,-6.9937,-531.543,-501.508,45.747,33.6971,19.7617,41.1369,-597.052,-576.342,20.7094
9.10838,0,0.285566,0,1,1,-4.52522,-531.543,-501.508,45.747,33.6971,19.7617,41.1369,-597.052,-576.342,20.7094
8.97528,0.930021,0.285566,3,15,0,-6.32614,-525.99,-496.206,34.3839,39.6798,21.5759,20.0475,-581.95,-555.933,26.0162
9.07675,0.570189,0.285566,2,7,0,-5.3499,-532.023,-497.192,33.1191,35.5988,20.2228,25.0883,-585.365,-557.879,27.4866
7.42024,0.990269,0.285566,3,7,0,-7.28515,-534.557,-501,31.2934,36.6442,19.8552,29.7115,-585.706,-567.356,18.3502
7.42024,0.368625,0.285566,1,2,1,-4.15326,-534.557,-501,31.2934,36.6442,19.8552,29.7115,-585.706,-567.356,18.3502
8.37142,0.732244,0.285566,3,7,0,-5.90402,-532.487,-496.978,31.874,32.5814,18.9768,24.5278,-583.338,-554.087,29.2505
9.02355,0.99285,0.285566,4,15,0,-5.99596,-519.16,-488.256,45.1679,32.7173,22.1654,30.8106,-586.493,-551.784,34.7091
9.94004,0.14451,0.285566,3,14,1,-7.47,-521.131,-489.103,43.081,32.943,21.8913,34.4203,-586.104,-556.466,29.638
9.31643,0.983499,0.285566,4,15,0,-7.95487,-522.607,-500.179,39.694,32.3101,17.9018,21.5595,-580.203,-554.049,26.154
7.46867,0.919816,0.285566,3,7,0,-3.39259,-525.729,-496.456,48.6061,40.6304,17.1505,19.0171,-591.486,-556.103,35.3821
6.03788,0.845421,0.285566,3,13,1,-3.14829,-516.017,-493.815,45.5039,44.3679,16.7272,18.3688,-578.248,-556.552,21.696
7.07603,0.90412,0.285566,3,11,1,-4.04268,-520.643,-497.451,40.4023,33.5482,23.743,16.8183,-584.788,-547.817,36.9709
5.85655,0.531043,0.285566,4,15,0,-3.06582,-534.142,-489.093,31.7314,43.6756,16.1524,30.1407,-582.026,-562.91,19.1166
6.77233,0.483336,0.285566,4,15,0,-2.50815,-519.937,-490.389,54.5835,33.2031,23.6719,48.6421,-598.193,-572.234,25.9586
6.77233,8.88703e-08,0.285566,2,3,0,-4.52659,-519.937,-490.389,54.5835,33.2031,23.6719,48.6421,-598.193,-572.234,25.9586
9.66992,0.99019,0.285566,3,7,0,-4.53106,-521.714,-494.732,42.3828,40.2927,26.082,34.5251,-590.179,-569.55,20.629
9.66992,0,0.285566,0,1,1,-6.67658,-521.714,-494.732,42.3828,40.2927,26.082,34.5251,-590.179,-569.55,20.629
8.84836,0.92534,0.285566,4,15,0,-5.54035,-535.728,-494.149,41.452,41.3659,20.2159,31.1937,-597.396,-566.709,30.6867
9.27513,0.926836,0.285566,3,7,0,-5.93058,-525.008,-488.497,37.9243,36.075,20.6222,41.9375,-583.555,-566.51,17.0448
9.26517,0.305828,0.285566,3,15,0,-6.5337,-519.042,-497.024,43.3504,32.715,19.8843,21.4761,-582.277,-551.215,31.0614
9.33923,1,0.285566,4,15,0,-8.16177,-532.461,-490.075,43.0634,34.3342,21.8135,39.3131,-597.337,-563.722,33.6152
8.49015,0.949274,0.285566,4,15,0,-4.8933,-513.49,-491.611,41.4725,36.6645,18.9722,25.1564,-573.934,-553.432,20.5027
7.78862,0.920605,0.285566,4,15,0,-5.03334,-538.603,-498.914,40.3859,33.8233,21.3124,32.9559,-600.301,-565.694,34.6077
6.16088,0.663863,0.285566,4,15,0,-5.43796,-540.872,-497.585,43.5497,31.1589,21.5958,36.7048,-606.017,-565.448,40.569
6.39686,0.474829,0.285566,4,15,0,-4.60954,-539.529,-497.024,44.7602,29.4107,20.3406,37.4326,-604.629,-563.868,40.7618
7.4588,0.681067,0.285566,4,15,0,-1.89531,-533.834,-490.459,42.8443,35.1556,22.4957,56.8005,-599.174,-582.415,16.7585
8.28796,0.650386,0.285566,3,7,0,-6.46126,-532.786,-487.334,42.6583,31.4322,21.355,39.7646,-596.8,-558.53,38.2694
7.40203,0.705559,0.285566,3,7,0,-6.35686,-532.758,-488.473,44.6729,32.6204,24.2927,60.0171,-601.724,-581.11,20.6138
7.82743,0.704466,0.285566,4,15,0,-3.90925,-514.594,-486.424,42.0344,31.8434,17.4061,31.4008,-574.035,-549.668,24.3668
8.42597,0.954083,0.285566,3,7,0,-6.67339,-515.432,-489.057,43.0514,31.6222,18.6252,25.6585,-577.109,-546.337,30.7712
