# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_siblings_model
# start_datetime = 2023-05-12 13:17:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = model_siblings_input.json
# random
#   seed = 390458552 (Default)
# output
#   file = model_siblings_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,burial_h,burial_a,age_h,age_a,age_m_h,birth_date_mother,age_m_a
# Adaptation terminated
# Step size = 0.635902
# Diagonal elements of inverse mass matrix:
# 31.846, 36.5465, 0.0227193, 0.0246548, 0.540728
0.576553,0.976045,0.635902,3,7,0,4.12478,-526.631,-501.453,32.1519,48.4729,19.9981,-578.781,28.8556
-0.331265,0.975243,0.635902,2,7,0,1.86609,-532.341,-505.843,29.4474,37.8777,20.4515,-582.24,38.5196
0.615695,0.973068,0.635902,3,7,0,3.11768,-515.831,-495.619,49.1669,38.0373,17.5614,-582.559,48.9026
0.564783,0.993959,0.635902,3,7,0,1.10645,-523.671,-500.331,26.7688,42.8787,19.0735,-569.513,26.3033
2.18551,0.978022,0.635902,3,7,0,0.631192,-524.924,-493.142,42.7074,35.48,18.756,-586.388,57.7655
-0.0577996,0.719882,0.635902,3,7,0,2.67694,-520.862,-502.148,25.3962,40.0614,20.318,-566.576,24.3668
-1.01651,0.970536,0.635902,3,7,0,2.2414,-519.052,-491.495,52.8516,36.7053,17.4826,-589.387,61.1866
0.342523,0.763485,0.635902,3,7,0,6.96002,-515.132,-494.417,39.276,32.1941,15.6721,-570.08,43.4695
0.172066,0.982366,0.635902,3,7,0,1.10015,-511.965,-498.14,34.8259,36.4785,15.9551,-562.746,28.1281
-1.18945,0.921764,0.635902,3,7,0,3.73831,-539.405,-500.335,36.7145,39.3032,18.325,-594.445,54.8069
2.31093,0.98238,0.635902,3,7,0,2.15607,-517.75,-496.154,38.7175,34.7798,22.1451,-578.613,47.6785
1.86491,0.853447,0.635902,3,7,0,-0.18791,-513.692,-497.858,36.3068,36.4184,18.0082,-568.007,33.73
0.775407,0.87761,0.635902,2,3,0,1.49549,-517.33,-500.343,42.9964,29.8132,22.8567,-583.183,53.0264
1.19501,0.970187,0.635902,3,7,0,0.614904,-518.517,-498.064,31.3452,33.9975,16.3169,-566.179,34.1176
2.47026,0.946485,0.635902,3,7,0,1.89361,-526.477,-498.412,39.7416,40.9877,17.0534,-583.272,43.873
1.24643,0.938443,0.635902,2,3,0,-1.01371,-525.026,-495.85,44.3363,41.3755,15.883,-585.245,48.0192
0.371005,0.963225,0.635902,3,7,0,0.232852,-522.232,-493.609,35.1922,35.1978,29.0161,-586.44,57.6334
1.15293,1,0.635902,3,7,0,0.134202,-518.34,-499.8,32.0984,37.7916,16.0148,-566.453,28.8616
1.62919,1,0.635902,3,7,0,-0.503792,-523.481,-494.165,40.7352,38.1661,25.6161,-589.832,57.5007
1.09583,0.981535,0.635902,3,7,0,0.306026,-525.53,-494.828,35.9051,46.3822,16.1493,-577.585,36.3742
1.11716,0.692503,0.635902,2,3,0,2.54245,-522.822,-499.489,41.2662,48.9138,17.1771,-581.265,32.8624
0.800423,0.99376,0.635902,3,7,0,0.605714,-520.938,-495.75,37.8981,48.228,16.1603,-574.996,31.0176
1.62843,1,0.635902,3,7,0,0.859176,-528.605,-498.233,39.6527,31.1926,19.0632,-587.321,57.895
-2.62111,0.75896,0.635902,2,3,0,3.05419,-537.103,-502.374,47.5584,31.6149,20.3859,-605.047,71.0583
2.28951,0.93452,0.635902,2,3,0,4.30275,-526.975,-497.985,36.1007,36.5739,16.8116,-579.887,45.3287
0.290214,0.813387,0.635902,3,7,0,2.03272,-511.704,-492.862,41.4855,45.7078,20.8106,-574,35.4302
-1.11891,0.759332,0.635902,3,7,0,7.12889,-512.001,-509.507,39.4256,40.2022,22.1588,-573.585,23.8765
2.20121,0.991531,0.635902,2,3,0,2.07905,-523.222,-497.927,43.2173,42.937,17.0396,-583.479,42.6147
-1.21254,0.87329,0.635902,3,7,0,2.25885,-528.88,-502.219,38.7203,39.1618,14.8059,-582.407,41.0253
1.95703,0.905168,0.635902,3,7,0,4.39767,-515.999,-492.869,38.5014,35.3061,21.2432,-575.743,47.568
2.1178,0.997614,0.635902,3,7,0,-1.13663,-520.259,-492.039,41.1142,35.6263,21.4417,-582.815,55.1495
1.67576,0.988331,0.635902,3,7,0,-1.01869,-515.358,-498.031,36.7002,42.5934,17.0499,-569.108,28.4836
2.51754,1,0.635902,2,7,0,-1.27998,-518.082,-498.858,34.7968,40.6083,18.2847,-571.163,31.697
1.1708,0.914879,0.635902,3,7,0,-0.609669,-517.717,-496.703,41.6239,32.9027,25.0578,-584.399,54.7931
-3.06822,0.240566,0.635902,3,7,0,7.39847,-517.391,-491.854,47.7867,45.4955,14.8106,-579.989,42.6393
-0.309457,0.906632,0.635902,3,7,0,5.55693,-530.675,-503.825,27.8014,33.6056,20.5222,-578.999,41.5678
1.39382,0.968015,0.635902,3,7,0,2.01238,-526.466,-498.48,34.9831,42.1087,15.8165,-577.266,36.6767
1.56514,0.901862,0.635902,3,7,0,1.18602,-521.631,-501.888,37.9552,31.7533,23.7715,-583.358,49.7162
2.13142,0.919213,0.635902,3,7,0,1.43668,-518.334,-500.357,33.2007,35.4836,17.6968,-569.231,33.3905
1.39376,0.907526,0.635902,2,3,0,0.384,-516.329,-493.513,38.5332,43.5894,24.0194,-578.881,41.7792
1.21801,0.985198,0.635902,3,7,0,0.548224,-514.887,-494.716,42.841,33.6118,16.9254,-574.654,46.3259
-0.441467,0.778187,0.635902,3,7,0,4.75563,-530.287,-509.649,36.8083,41.2065,23.7154,-590.811,39.9554
-2.84045,0.83197,0.635902,3,7,0,4.4655,-517.25,-482.648,41.4926,29.0631,16.2559,-574.998,63.2873
-1.89214,0.965354,0.635902,3,7,0,4.87687,-534.713,-491.187,44.5894,35.291,15.7961,-595.099,68.6213
0.253846,0.968241,0.635902,2,7,0,4.78417,-516.131,-497.03,32.3887,30.9135,15.9721,-564.492,36.5477
-0.823336,0.965504,0.635902,3,7,0,2.53388,-523.525,-494.534,33.5545,23.4682,18.161,-575.24,57.2381
2.4876,0.974526,0.635902,3,7,0,2.99137,-521.525,-498.288,43.4443,42.9704,19.8816,-584.851,43.5927
0.618361,0.808381,0.635902,3,7,0,0.70551,-528.099,-505.879,36.4324,39.0472,15.92,-580.451,35.5255
1.01576,0.983731,0.635902,3,7,0,0.707308,-528.624,-508.157,36.892,39.3836,18.5564,-584.073,36.5319
1.53319,0.960787,0.635902,3,7,0,0.873848,-524.589,-494.001,28.757,40.3942,18.4806,-571.827,37.4322
0.378031,0.855034,0.635902,3,7,0,1.97683,-520.307,-499.857,47.8137,36.5271,15.7288,-583.849,47.4654
1.54359,0.992085,0.635902,3,7,0,0.479262,-519.271,-492.725,29.8067,39.242,17.9818,-567.059,35.0921
0.990523,0.955447,0.635902,3,7,0,0.192923,-526.383,-504.968,45.2005,34.1379,17.5161,-589.1,49.9936
0.957686,0.864937,0.635902,3,7,0,2.33653,-516.56,-489.698,31.7936,35.3652,20.9619,-569.315,44.252
1.47269,0.993089,0.635902,3,7,0,-0.0889584,-514.864,-491.953,36.7594,33.1428,19.2796,-570.903,45.8067
1.31847,0.945663,0.635902,3,7,0,0.641626,-527.123,-505.489,42.2078,44.318,19.1903,-588.522,38.7142
0.635915,0.965898,0.635902,2,3,0,-0.0267234,-529.893,-505.375,45.6355,41.1437,19.8051,-595.334,48.8151
0.628078,0.992484,0.635902,3,7,0,0.255955,-514.385,-495.585,28.5172,35.7174,19.8934,-562.796,31.4935
0.508485,0.617963,0.635902,2,3,0,3.13052,-520.916,-487.553,31.0818,34.4847,21.3083,-573.306,51.268
0.957669,0.979279,0.635902,3,7,0,1.99772,-527.624,-505.514,32.801,42.4299,17.5601,-577.985,30.0405
0.517933,0.995563,0.635902,3,7,0,0.564099,-516.125,-491.003,37.3853,37.1186,15.5974,-569.108,40.9863
1.31815,0.996862,0.635902,3,7,0,0.717152,-530.577,-505.346,40.398,38.6162,19.6148,-590.59,46.6278
1.21936,0.998407,0.635902,3,7,0,-0.579994,-513.347,-490.477,35.5847,37.6736,19.0914,-568.023,39.8725
1.95296,0.7856,0.635902,2,3,0,3.79003,-520.712,-494.737,43.46,38.9598,16.4326,-580.605,46.9084
1.1932,0.840564,0.635902,3,7,0,0.869591,-522.462,-502.648,29.2085,36.6324,22.5263,-574.197,34.9169
-0.175009,0.837671,0.635902,3,7,0,2.0029,-514.659,-504.358,31.3069,39.7615,24.8505,-570.816,26.6966
2.24916,1,0.635902,3,7,0,0.520623,-522.395,-493.954,32.0652,35.1006,19.055,-573.515,44.4606
2.22119,0.996201,0.635902,3,7,0,-1.7797,-522.108,-501.072,44.8366,41.955,19.8435,-586.789,43.7615
2.31873,0.952239,0.635902,3,7,0,-1.13511,-521.365,-497.273,37.3019,33.3943,16.8429,-575.51,44.8426
2.31998,0.827489,0.635902,1,3,0,1.42782,-518.595,-493.956,32.9656,40.3885,19.5712,-571.132,36.7877
2.01473,0.930958,0.635902,3,7,0,-0.352486,-524.989,-501.624,43.3497,39.9253,16.8024,-585.141,43.5925
0.912791,0.874857,0.635902,2,3,0,0.0528563,-519.193,-500.205,49.1594,39.3172,17.0814,-585.434,45.912
1.79972,1,0.635902,3,7,0,0.0856164,-524.119,-503.809,31.7681,36.1293,18.1881,-574.076,34.1374
-1.34193,0.763349,0.635902,2,3,0,3.27512,-520.916,-506.497,26.698,31.8145,16.7341,-564.348,26.0361
0.664824,1,0.635902,3,7,0,1.5967,-523.656,-488.498,42.8177,44.543,22.5622,-589.036,55.9953
0.226925,0.907281,0.635902,3,7,0,1.55459,-527.544,-498.83,32.869,28.2783,22.9809,-583.394,56.2855
2.27611,0.94954,0.635902,2,3,0,0.830945,-519.051,-492.831,38.8572,34.2966,17.8776,-575.786,48.659
-0.399059,0.800672,0.635902,2,3,0,2.5931,-524.075,-506.503,47.2011,44.9865,16.3474,-587.624,36.1347
2.27969,0.987023,0.635902,2,3,0,1.1717,-524.854,-491.869,37.3751,36.3606,17.5743,-579.803,51.573
1.60427,0.940632,0.635902,3,7,0,-0.404047,-524.402,-505.133,33.6059,40.8119,22.1993,-580.207,34.2624
-0.336973,0.824699,0.635902,3,7,0,2.67881,-524.436,-490.143,43.7093,37.3948,15.2477,-583.393,55.8552
0.212509,0.977262,0.635902,3,7,0,1.79978,-514.864,-490.901,36.8142,36.8575,15.588,-567.266,39.5078
0.108615,0.949005,0.635902,2,7,0,1.43298,-515.085,-491.407,46.3729,37.1272,16.2539,-577.711,49.177
-0.497259,0.964838,0.635902,3,7,0,3.00185,-510.45,-491.775,32.9541,31.0647,18.736,-562.141,39.3009
-0.58468,0.998237,0.635902,3,7,0,2.37273,-534.711,-501.479,29.7898,43.7804,19.8823,-584.383,39.1232
-0.760299,0.898637,0.635902,3,7,0,3.86217,-509.483,-494.791,43.6451,30.8259,17.3352,-570.463,44.8469
-0.0869766,0.99487,0.635902,3,7,0,3.10696,-535.537,-500.947,33.1025,37.2742,21.5575,-590.197,51.9757
-1.15498,0.963179,0.635902,3,7,0,2.34986,-509.665,-486.323,40.4701,38.6557,17.3333,-567.468,42.4899
0.094849,0.991545,0.635902,3,7,0,2.71268,-533.15,-505.974,36.6517,40.8268,22.5588,-592.361,45.5595
0.0454343,0.90426,0.635902,3,7,0,4.339,-511.894,-489.767,38.4741,34.171,16.7674,-567.136,43.1976
-0.882407,0.936372,0.635902,3,7,0,3.60632,-515.182,-508.084,42.7827,42.2911,16.1812,-574.146,23.7709
2.75096,1,0.635902,2,3,0,0.511326,-521.589,-500.001,39.7223,36.8416,17.2596,-578.571,41.7285
