# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_cousins_model
# start_datetime = 2023-05-12 13:28:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = model_cousins_input.json
# random
#   seed = 391094460 (Default)
# output
#   file = model_cousins_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,burial_h,burial_a,age_h,age_a,age_m_h,age_m_a,age_m2_h,birth_date_grandmother,age_m2_a
# Adaptation terminated
# Step size = 0.358958
# Diagonal elements of inverse mass matrix:
# 36.5644, 35.1106, 0.0229314, 0.0255476, 0.481555, 0.359001, 0.48312
6.84559,0.996746,0.358958,3,15,0,-2.22623,-527.99,-489.407,36.0904,47.6961,16.8184,43.9183,20.9531,-601.852,20.8305
8.57847,0.867155,0.358958,3,7,0,-2.05524,-530.123,-494.714,35.8354,42.7541,17.0556,37.9958,22.1459,-605.16,29.6967
8.17668,0.997677,0.358958,4,15,0,-6.70477,-525.973,-497.43,48.7731,35.8892,25.1802,52.4326,19.704,-619.63,33.8784
8.71551,0.997231,0.358958,3,7,0,-6.76977,-526.923,-495.89,48.0412,40.9167,18.8895,53.0902,21.6772,-615.531,25.6339
7.07543,0.969205,0.358958,3,7,0,-5.84754,-536.223,-497.673,45.8204,41.9785,21.7048,51.0573,20.1539,-623.902,33.1932
8.61678,0.998828,0.358958,3,7,0,-6.39878,-534.399,-496.986,39.6742,39.3789,18.7652,49.9843,19.8099,-612.648,26.2982
5.41331,0.885116,0.358958,4,15,0,-2.43576,-521.097,-491.047,31.3151,30.1224,16.4132,45.8131,30.0349,-598.86,31.8775
6.40867,0.952653,0.358958,3,7,0,-3.36125,-523.52,-492.934,29.6405,27.2579,17.7163,52.7175,22.312,-593.189,20.2802
2.60233,0.177486,0.358958,4,15,0,2.57156,-513.787,-490.522,38.9516,22.308,17.9752,24.8663,15.8397,-586.553,48.8564
2.16585,0.856109,0.358958,2,7,1,-0.878679,-514.701,-490.67,35.1139,21.909,18.1422,21.5748,16.2193,-584.176,50.0226
1.773,0.878219,0.358958,3,13,1,2.12792,-516.084,-497.963,33.4871,22.0227,15.0452,26.68,16.7035,-581.319,34.6537
5.83705,1,0.358958,4,15,0,0.102801,-529.253,-494.052,47.278,42.3186,15.2011,47.0756,16.9752,-608.707,25.2609
5.1689,0.601641,0.358958,2,4,1,-1.43382,-531.841,-497.569,44.9505,45.3447,15.697,26.8853,16.3409,-608.83,39.0312
2.64898,0.813531,0.358958,2,7,1,1.50129,-531.885,-498.459,45.0767,43.0442,14.6731,24.9058,17.1532,-608.788,42.3789
5.66997,0.997852,0.358958,3,7,0,-1.96107,-525.947,-498.073,41.7097,39.4812,14.8779,25.7472,17.0105,-599.545,36.2436
9.03211,0.973675,0.358958,4,15,0,-1.29442,-524.774,-493.085,38.7624,32.0225,23.9492,42.9213,17.6431,-605.129,37.1002
8.86829,0.991253,0.358958,4,15,0,-5.83259,-518.17,-496.646,40.676,42.2252,17.472,26.9998,20.1509,-596.469,30.5973
8.98932,0.992926,0.358958,4,15,0,-7.43457,-529.133,-496.398,37.6041,32.6268,22.2046,53.1219,17.7105,-606.652,24.5051
8.98932,0.332155,0.358958,1,2,1,-6.00915,-529.133,-496.398,37.6041,32.6268,22.2046,53.1219,17.7105,-606.652,24.5051
9.96843,0.994718,0.358958,3,7,0,-8.23845,-525.311,-491.742,38.2971,38.2146,20.7018,39.2071,20.0924,-604.402,35.2385
8.78255,0.644369,0.358958,1,3,1,-6.18335,-524.45,-487.365,38.9599,36.0004,19.9102,34.7149,20.1849,-603.505,45.4252
7.91037,0.285859,0.358958,3,7,0,-2.60771,-518.378,-495.742,43.2691,45.9241,24.7065,41.4094,22.0398,-608.394,25.3181
8.92425,1,0.358958,3,7,0,-6.48432,-516.172,-499.054,40.9437,32.1062,18.9425,35.8135,21.8691,-597.927,30.9539
7.84477,0.857514,0.358958,4,15,0,-4.96995,-528.212,-496.522,32.8595,45.9155,20.0822,31.3185,17.3232,-598.477,24.7208
5.9755,0.917987,0.358958,3,7,0,-3.10865,-528.873,-504.721,35.7053,40.7051,22.1071,24.7641,27.7847,-614.47,44.2796
5.11106,0.741758,0.358958,3,7,0,3.5009,-516.223,-497.309,46.8328,31.4499,17.8206,38.9703,14.9321,-595.809,28.0798
7.64289,0.998183,0.358958,3,7,0,-3.53513,-521.262,-490.348,36.7315,35.7495,16.3415,35.7475,15.9284,-590.263,28.4185
3.44577,0.919492,0.358958,3,7,0,-1.55836,-538.53,-497.57,49.4823,35.4329,18.2351,62.2181,15.4287,-621.676,26.4552
4.73183,0.94206,0.358958,4,15,0,-0.474363,-534.685,-495.626,28.7694,33.1679,20.4236,26.5189,15.9805,-599.858,44.5451
7.99152,0.469755,0.358958,4,15,0,-3.44324,-523.283,-504.721,33.4792,39.779,18.4059,25.4878,19.1863,-594.354,24.3661
7.51605,0.984356,0.358958,4,15,0,-5.49652,-524.711,-486.624,46.8953,32.3555,18.7823,60.6402,18.539,-608.927,29.308
7.49863,0.829864,0.358958,4,15,0,-4.0782,-524.496,-503.913,31.7165,38.59,18.9929,22.792,21.6003,-596.806,31.511
8.27785,0.996621,0.358958,3,7,0,-6.45817,-524.674,-497.031,32.3206,43.9997,19.652,24.8072,19.6911,-596.337,30.5
5.91644,0.873695,0.358958,3,15,0,-2.46934,-529.502,-498.085,42.9255,48.0279,15.98,29.7024,16.4061,-604.814,28.9991
2.39629,0.91496,0.358958,3,7,0,0.657798,-532.682,-493.324,46.5238,48.8293,15.5792,40.801,15.1053,-609.89,26.9365
6.8386,0.996302,0.358958,3,7,0,0.11106,-521.695,-489.288,39.8694,27.1553,16.7665,47.3728,24.4475,-602.778,38.9623
9.4165,1,0.358958,3,7,0,-6.05549,-517.576,-497.259,40.0326,32.9819,19.54,35.5648,17.8055,-594.954,29.1483
9.54172,0.998645,0.358958,3,7,0,-9.08829,-519.919,-498.705,40.4171,33.1456,19.5314,37.4407,17.2463,-597.114,27.8227
