# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_full_sibs_model
# start_datetime = 2023-04-03 09:43:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = params.json
# init = 2 (Default)
# random
#   seed = 1302950853 (Default)
# output
#   file = full_sibs_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_mother,mother_age_hochdorf,mother_age_asperg,age_hochdorf,age_asperg,burial_date_hochdorf,burial_date_asperg
# Adaptation terminated
# Step size = 0.323693
# Diagonal elements of inverse mass matrix:
# 261.07, 0.752545, 0.123158, 0.0555211, 0.0852692
11.4609,0.982767,0.323693,3,7,0,-10.9393,-578.529,35.6417,33.1652,39.4277,35.241,-503.459,-510.123
12.0384,0.998437,0.323693,3,7,0,-10.3274,-581.593,23.1483,39.8648,44.9065,47.2034,-513.538,-494.525
12.0169,0.961267,0.323693,3,15,0,-11.0595,-578.289,24.2657,44.5866,43.252,27.1085,-510.771,-506.594
12.0748,0.973601,0.323693,4,15,0,-9.88753,-600.589,38.6606,45.5541,42.4789,41.6509,-519.449,-513.384
11.098,0.93266,0.323693,3,7,0,-9.86541,-605.479,26.8866,51.5562,53.3118,33.0732,-525.281,-520.849
8.88806,0.871723,0.323693,2,7,0,-6.5403,-604.216,30.6781,46.3435,44.3087,23.0627,-529.229,-534.81
9.05716,0.932415,0.323693,3,7,0,-5.8052,-606.923,23.0258,75.1628,57.9641,29.6056,-525.933,-502.155
8.28332,0.827773,0.323693,2,3,0,-6.48414,-598.37,25.9618,69.9369,64.4385,28.968,-507.969,-499.465
9.95318,0.84601,0.323693,3,7,0,-4.58678,-591.542,33.5899,28.0871,31.345,50.4578,-526.607,-512.997
10.2967,0.997989,0.323693,2,3,0,-9.78534,-589.657,36.8055,29.5023,30.8704,48.6,-521.981,-511.555
11.6625,0.994966,0.323693,3,7,0,-9.59902,-562.787,19.2113,38.3839,34.732,33.5758,-508.844,-490.827
11.6715,0.938808,0.323693,3,11,0,-8.57064,-584.008,32.6751,36.3438,42.9254,32.1066,-508.407,-515.557
11.6965,0.979981,0.323693,3,7,0,-10.6159,-584.117,12.1492,40.5603,43.0222,35.8747,-528.946,-507.682
12.1497,0.996641,0.323693,2,7,0,-11.1692,-578.769,15.6961,51.5574,42.4029,33.6174,-520.67,-493.594
10.5449,0.974573,0.323693,3,7,0,-9.54569,-559.288,10.4818,29.9767,40.7079,28.6462,-508.098,-500.665
10.7788,0.988747,0.323693,4,15,0,-9.89424,-603.858,38.676,59.5043,53.2243,47.4897,-511.957,-496.863
11.8132,0.873942,0.323693,2,3,0,-9.8065,-600.549,21.389,52.3512,42.501,39.4594,-536.659,-508.739
11.1086,0.940437,0.323693,3,7,0,-10.3243,-594.639,17.8921,39.4628,45.4759,33.8056,-531.271,-521.371
10.9828,0.998814,0.323693,3,7,0,-9.35342,-601.584,36.0519,52.1458,56.9534,43.2484,-508.579,-506.19
9.75349,0.39687,0.323693,3,7,0,-5.89541,-566.888,2.91699,36.9555,45.1562,38.6143,-518.815,-491.318
9.90305,0.97376,0.323693,3,15,0,-8.17363,-563.132,8.28092,28.6966,48.5365,29.7298,-506.315,-504.706
9.01023,0.981163,0.323693,3,7,0,-7.34473,-568.48,5.75539,26.2952,51.8806,30.9914,-510.844,-511.194
7.94178,0.966709,0.323693,3,7,0,-6.01258,-571.934,16.1553,20.5146,55.3583,30.1385,-500.42,-521.281
8.31295,0.99416,0.323693,2,3,0,-7.17058,-578.503,19.1976,19.7646,52.5617,31.6936,-506.743,-527.045
11.1428,0.961164,0.323693,3,15,0,-7.36613,-578.261,22.6778,25.5435,36.7579,45.5099,-518.825,-507.207
8.28173,0.968477,0.323693,3,7,0,-7.11988,-570.91,23.5491,13.978,48.706,38.8287,-498.655,-518.103
6.85909,0.875047,0.323693,2,3,0,-6.53276,-566.697,29.3065,13.8529,51.5632,40.5679,-485.828,-512.277
5.71591,0.958323,0.323693,3,11,0,-1.75441,-561.291,11.2348,7.03073,37.6993,55.3193,-512.356,-498.941
7.04674,1,0.323693,3,7,0,-5.65256,-561.963,18.5257,7.21998,37.2211,35.7095,-506.217,-519.034
7.20617,0.918925,0.323693,3,15,0,-3.70749,-575.072,5.74065,13.7494,48.1578,47.2308,-521.173,-514.091
8.32742,0.985494,0.323693,3,7,0,-5.9975,-551.199,8.06931,14.7,38.7636,35.0391,-504.367,-501.46
8.25979,0.973097,0.323693,3,15,0,-5.26655,-556.372,8.92776,14.9252,46.1315,35.7333,-501.313,-505.713
10.2389,0.972481,0.323693,3,7,0,-7.55418,-574.846,14.909,21.3274,37.3963,39.4522,-522.54,-514.066
8.81175,0.845176,0.323693,3,7,0,-6.1899,-583.56,17.1869,20.7801,39.6416,33.2273,-526.732,-529.553
8.97903,0.980882,0.323693,3,7,0,-7.37686,-566.82,15.0592,55.6665,43.4423,44.6761,-508.319,-466.478
