# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_full_sibs_model
# start_datetime = 2023-03-21 21:31:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = params.json
# init = 2 (Default)
# random
#   seed = 222271579 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_a,age_a,birth_date_h,age_h,birth_date_m,birth_age_mother_h,birth_age_mother_a
# Adaptation terminated
# Step size = 0.165237
# Diagonal elements of inverse mass matrix:
# 236.62, 0.0786845, 242.427, 0.055143, 242.786
0.21316,0.984842,0.165237,4,31,0,5.06383,-522.123,14.5194,-529.335,24.2621,-559.467,30.1321,37.3436
1.24888,0.992543,0.165237,4,15,0,0.937938,-514.956,15.1289,-520.511,32.0487,-546.722,26.2113,31.7661
3.34911,0.998271,0.165237,5,31,0,-0.0331249,-539.213,28.5968,-545.388,38.7073,-571.536,26.1486,32.3229
-0.435331,0.9242,0.165237,4,15,0,1.56352,-545.636,8.33691,-540.673,45.0281,-574.776,34.1027,29.1399
2.90118,0.885265,0.165237,4,23,0,4.60764,-570.833,17.8373,-574.831,53.5801,-604.34,29.5091,33.5071
3.98279,1,0.165237,4,15,0,-2.69348,-567.231,23.1147,-570.19,55.4206,-600.34,30.1499,33.1095
2.99908,0.826074,0.165237,3,7,0,-0.633935,-568.325,22.5478,-576.765,58.6536,-604.46,27.6959,36.1351
2.30774,0.942937,0.165237,4,31,0,2.38477,-567.955,29.6478,-560.052,50.8301,-595.531,35.4792,27.5762
1.75221,0.978103,0.165237,4,15,0,1.84733,-566.544,28.4622,-580.098,52.7033,-604.569,24.471,38.0247
3.13436,0.790895,0.165237,3,7,0,0.198969,-572.347,27.6042,-574.977,57.0298,-606.21,31.2331,33.8625
4.833,0.986807,0.165237,4,31,0,-0.81118,-544.609,23.0499,-550.059,48.2459,-577.948,27.8894,33.3391
4.17792,0.954862,0.165237,4,23,0,-3.89789,-545.45,24.4765,-541.228,42.1255,-576.162,34.9336,30.7117
4.18536,0.988447,0.165237,3,15,0,-3.76597,-539.215,24.3168,-548.874,45.412,-576.374,27.4998,37.1592
4.01356,0.912271,0.165237,4,23,0,-0.933158,-551.305,23.1844,-545.58,44.6439,-581.586,36.0058,30.2804
2.96316,0.917284,0.165237,3,15,0,-1.96108,-541.218,17.2218,-552.757,44.9941,-575.543,22.786,34.3254
3.82331,0.800066,0.165237,3,11,0,3.36948,-550.792,27.2109,-553.055,52.3483,-580.117,27.0621,29.3256
2.68654,0.920221,0.165237,2,3,0,-2.39978,-543.78,27.1386,-551.154,52.499,-584.056,32.9019,40.2768
4.19206,0.990047,0.165237,4,15,0,-1.20384,-552.195,26.3678,-550.094,46.3761,-580.227,30.1338,28.0325
4.6698,0.999705,0.165237,4,31,0,-3.93768,-546.532,25.3617,-550.23,42.2731,-581.288,31.0574,34.7554
4.83787,0.990975,0.165237,4,31,0,-3.64382,-554.374,24.9412,-557.384,46.4024,-587.951,30.567,33.5766
3.02102,0.869269,0.165237,3,7,0,-2.05496,-556.848,28.8755,-558.341,60.4767,-589.783,31.4426,32.9355
2.35964,0.990288,0.165237,4,15,0,-1.71157,-564.347,15.5464,-563.922,38.8075,-596.102,32.1798,31.7544
1.44367,0.973005,0.165237,4,15,0,0.286048,-571.449,32.7033,-573.422,59.3262,-606.064,32.642,34.6148
2.39688,0.85671,0.165237,4,15,0,1.96512,-561.885,15.9449,-565.524,40.053,-598.091,32.5677,36.2068
1.77607,0.831153,0.165237,3,15,0,5.3417,-550.615,23.8075,-565.624,37.6509,-587.217,21.5926,36.6023
2.56838,0.70497,0.165237,4,15,0,2.47407,-558.541,21.1055,-567.876,39.1916,-598.504,30.6283,39.9628
2.28244,0.794334,0.165237,4,23,0,0.516626,-562.926,26.6194,-570.939,53.704,-603.745,32.8052,40.8192
-1.93544,0.747423,0.165237,4,27,0,3.2895,-563.422,15.6941,-564.144,46.9613,-585.159,21.0145,21.7368
2.82308,0.998982,0.165237,4,31,0,2.83408,-554.247,14.0089,-558.15,47.454,-589.941,31.7909,35.6941
3.10111,0.979544,0.165237,4,31,0,-1.43301,-548.233,15.0024,-551.202,55.3301,-582.044,30.8423,33.8112
2.37823,0.975382,0.165237,4,31,0,0.366835,-527.6,23.4335,-530.881,26.4268,-559.587,28.706,31.9871
2.51996,0.989121,0.165237,4,31,0,-0.815856,-545.896,20.4228,-554.874,63.501,-580.769,25.8948,34.8728
2.25891,0.91869,0.165237,3,7,0,3.27362,-550.808,23.0983,-551.409,66.3611,-581.549,30.1408,30.7412
1.34239,0.885704,0.165237,4,15,0,2.29205,-535.665,16.2194,-553.064,44.4221,-576.437,23.3737,40.772
2.72076,0.978001,0.165237,4,31,0,0.668786,-533.667,19.1705,-529.172,33.772,-565.812,36.64,32.1446
3.58668,0.969805,0.165237,3,15,0,0.493081,-535.344,23.5216,-539.833,47.5356,-564.693,24.8602,29.3494
3.26591,0.976995,0.165237,5,31,0,-1.68752,-529.035,20.9984,-532.18,43.6526,-557.651,25.4712,28.6166
3.87811,0.968773,0.165237,3,15,0,-1.89391,-533.908,16.762,-534.428,42.9947,-565.082,30.6547,31.1742
4.47346,0.989257,0.165237,5,31,0,-3.56143,-536.004,24.5917,-540.066,40.38,-570.285,30.2184,34.2804
4.11538,0.999334,0.165237,4,15,0,-3.43617,-536.172,25.6434,-539.701,36.7982,-568.87,29.1694,32.6981
3.52981,0.871989,0.165237,4,31,0,-0.593171,-550.452,27.5281,-552.557,38.507,-579.482,26.925,29.0297
2.82037,0.732129,0.165237,4,15,0,1.3145,-558.394,19.4921,-565.17,35.7692,-591.032,25.862,32.6381
2.41445,0.999674,0.165237,4,15,0,-1.2579,-571.134,24.3549,-569.918,36.1139,-599.777,29.8591,28.6426
3.57165,0.99862,0.165237,4,15,0,-1.3629,-557.041,22.293,-555.32,57.7041,-585.099,29.7784,28.0573
4.3236,0.984614,0.165237,4,15,0,-1.78975,-543.366,20.9178,-548.412,36.25,-577.646,29.234,34.2803
4.38415,0.973024,0.165237,4,31,0,-3.28231,-554.238,21.4571,-560.669,50.7443,-590.996,30.3264,36.7573
3.25582,0.969438,0.165237,3,15,0,-1.72703,-552.274,27.954,-555.227,60.1108,-585.982,30.7548,33.7071
3.8288,1,0.165237,3,7,0,-3.04301,-550.972,25.5506,-554.409,58.8604,-583.279,28.8696,32.307
2.96055,0.884661,0.165237,3,7,0,-1.43407,-546.162,26.5307,-555.569,59.1086,-584.103,28.5337,37.9403
3.06807,0.926867,0.165237,3,15,0,-0.51019,-569.723,23.7548,-566.182,40.5682,-597.177,30.9948,27.454
2.8182,0.741761,0.165237,4,27,0,0.416846,-565.122,24.8203,-574.751,44.2002,-604.188,29.437,39.0663
3.71656,0.991918,0.165237,3,15,0,-1.56724,-564.579,27.896,-568.578,47.391,-596.003,27.4244,31.424
3.74271,0.974881,0.165237,4,15,0,-3.14567,-565.999,22.8708,-567.067,44.8473,-594.922,27.8549,28.9226
2.04727,0.831044,0.165237,4,31,0,0.261656,-543.776,24.3523,-544.011,44.3283,-567.896,23.8842,24.1202
0.237559,0.999502,0.165237,4,23,0,1.09669,-514.216,20.6211,-514.943,43.6748,-552.425,37.4815,38.2087
4.4458,0.976704,0.165237,4,19,0,1.3278,-540.797,22.5172,-543.943,39.0729,-576.255,32.3124,35.4578
3.95353,0.977662,0.165237,3,15,0,-0.671478,-546.394,16.8688,-547.195,46.7044,-575.917,28.7217,29.5223
